Frabrication method,Zn wt% ,Li wt%,Mg wt%,Ca wt%,Ce wt%,Yb wt%,Mn wt%,Al wt%,Cu wt%,Sr wt%,Ti wt%,Mo wt%,Sc wt%,Zr wt%,alpha-Zn,beta-LiZn4,Mg2Zn11,CaZn13,CeZn11,YbZn11,MnZn13,TiZn15,CuZn4,MoZn7,e-CuZN5,ScZn12,MgZn2,ZrZn22,SrZn13,YS (Mpa),UTS (Mpa),Elongation (%),Corrosion rate (mm/yr)
Casting + Extrusion,98.8,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,55,100,14,0.25
Casting + Extrusion,98.8,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,239,450,18,0.25
Casting + Extrusion ,99.9,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,79.98,92.1,6.06,0.05
Casting + Extrusion ,99.8,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,125.19,166.22,28.7,0.048
Casting + Extrusion ,99.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,109.85,158.59,42.82,0.038
Casting + Extrusion ,99,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,133.03,169.4,27.62,0.046
Casting + Extrusion ,99.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,123.2,161.97,39.01,0.027
Casting + Extrusion ,99.8,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,103.85,144.25,28.33,0.039
Casting + Extrusion ,99.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,114.54,156.96,35.25,0.052
Casting + Extrusion ,99,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,119.1,157.42,32.73,0.055
Casting,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,47.5,60.4,0.1,0.002
Casting,99.6,0.2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,69.3,103.6,0.3,0.0041
Casting,99.2,0.4,0,0,0,0,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,100.3,125.4,0.34,0.0037
Casting,99,0.6,0,0,0,0,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,149.2,238.4,0.98,0.0025
Casting,98.8,0.4,0,0,0,0,0.8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,203.2,271.5,2.1,0.002
Casting,98.6,1,0,0,0,0,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,130.4,231.2,1.3,0.0019
Casting + Rolling,98.76,0,0,0,0,0,0,0,1.22,0,0.02,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,183.21,213.02,35.12,0.224
Casting + Rolling,98.56,0,0,0,0,0,0,0,1.33,0,0.07,0.04,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,162.63,217.66,28.29,0.178
Casting + Rolling,98.35,0,0,0,0,0,0,0,1.63,0,0.02,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,146.22,245.27,31.35,0.075
Casting + Rolling,98.62,0,0,0,0,0,0,0,1.22,0,0.1,0.06,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,191.93,224.56,25.92,0.123
Casting + Rolling,98.73,0,0,0,0,0,0,0,1.14,0,0.13,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,214.49,297.68,29.85,0.132
Casting + Rolling,98.55,0,0,0,0,0,0,0,1.26,0,0.13,0.06,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,234.41,303.81,25.79,0.104
Casting + Rolling,98.06,0,0,0,0,0,0,0,1.86,0,0.08,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,271.42,312.28,23.92,0.03
Casting + Rolling,98.03,0,0,0,0,0,0,0,1.82,0,0.1,0.05,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,240.74,343.07,32.69,0.081
Casting + Rolling,96.6,0.4,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,225,305,30,0.044
Casting + Rolling,96.42,0.4,0,0,0,0,0,0,3,0,0,0,0.18,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,277,337,39.8,0.073
Casting + Rolling,96.25,0.4,0,0,0,0,0,0,3,0,0,0,0.35,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,319,373,8.8,0.102
Casting + Rolling,96.05,0.4,0,0,0,0,0,0,3,0,0,0,0.55,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,250,310,4.4,0.281
Casting,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,60,4.5,0.09
Casting,98.98,0,1,0,0,0,0,0,0,0,0,0,0,0.02,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,114.3,143.82,1.4,0.335
Casting,98.95,0,1,0,0,0,0,0,0,0,0,0,0,0.05,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,115.1,145.2,1.5,0.305
Casting,98.9,0,1,0,0,0,0,0,0,0,0,0,0,0.1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,115.7,147.8,1.8,0.258
Casting,98.7,0,1,0,0,0,0,0,0,0,0,0,0,0.3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,115.2,148.1,1.5,0.363
Casting,98.98,0,1,0,0,0,0,0,0,0,0,0,0,0.02,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,217.6,259.6,12.4,0.447
Casting,98.95,0,1,0,0,0,0,0,0,0,0,0,0,0.05,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,218,263.2,12.1,0.44
Casting,98.9,0,1,0,0,0,0,0,0,0,0,0,0,0.1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,219.1,267.8,10.7,0.444
Casting,98.7,0,1,0,0,0,0,0,0,0,0,0,0,0.3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,201.9,266.1,8.3,0.455
Casting + Extrusion,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,90,6,0.06
Casting + Extrusion,99.3,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,130,10,0.04
Casting + Extrusion,96,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,125,3,0.07
Casting + Extrusion,96,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,282,384,28,0.0086
Casting + Extrusion,95.4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,282,435,30,0.0187
Casting + Extrusion,95.2,0.8,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,264,447,32,0.0155
Casting + Extrusion,94,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,260,402,44,0.0165
Casting + Extrusion,93.4,0.6,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,371,445,47,0.0385
Casting + Extrusion,93.2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,404,535,32,0.0421
Casting + Extrusion,93,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,407,536,17,0.0734
Casting + Extrusion,92.2,0.8,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,497,631,3,0.0907
Casting,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,24,14,0.01
Casting,99.92,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,39,12,0.02
Casting,99.95,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,59,9,0.03
Casting,99.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,86,6,0.104
Casting,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30,40,3,0.053
Casting,98.9,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,105,125,1.5,0.065
Casting,98.5,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,115,130,1.4,0.149
Casting + Rolling,98.9,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,210,320,35,0.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cocom,,,,
